Label,Value,Year
Reported,33,1985
Cleared,19,1985
Reported,13,1986
Cleared,11,1986
Reported,33,1987
Cleared,11,1987
Reported,32,1988
Cleared,11,1988
Reported,37,1989
Cleared,12,1989
Reported,38,1990
Cleared,14,1990
Reported,17,1991
Cleared,11,1991
Reported,11,1992
Cleared,5,1992
Reported,14,1993
Cleared,3,1993
Reported,20,1994
Cleared,9,1994
Reported,16,1995
Cleared,6,1995
Reported,21,1996
Cleared,10,1996
Reported,19,1997
Cleared,10,1997
Reported,21,1998
Cleared,13,1998
Reported,12,1999
Cleared,5,1999
Reported,13,2000
Cleared,6,2000
Reported,12,2001
Cleared,7,2001
Reported,17,2002
Cleared,6,2002
Reported,10,2003
Cleared,6,2003
Reported,13,2004
Cleared,7,2004
Reported,8,2005
Cleared,3,2005
Reported,6,2006
Cleared,4,2006
Reported,21,2007
Cleared,9,2007
Reported,12,2008
Cleared,7,2008
Reported,22,2009
Cleared,9,2009
Reported,18,2010
Cleared,6,2010
Reported,19,2011
Cleared,6,2011
Reported,16,2012
Cleared,6,2012
Reported,16,2013
Cleared,5,2013
Reported,18,2014
Cleared,5,2014
Reported,12,2015
Cleared,2,2015
Reported,11,2016
Cleared,2,2016
Reported,3,2017
Cleared,3,2017
Reported,11,2018
Cleared,2,2018
