Label,Value,Year
Reported,98,1985
Cleared,17,1985
Reported,109,1986
Cleared,21,1986
Reported,99,1987
Cleared,17,1987
Reported,96,1988
Cleared,19,1988
Reported,93,1989
Cleared,20,1989
Reported,87,1990
Cleared,15,1990
Reported,105,1991
Cleared,17,1991
Reported,71,1992
Cleared,17,1992
Reported,126,1993
Cleared,17,1993
Reported,140,1994
Cleared,18,1994
Reported,160,1995
Cleared,38,1995
Reported,121,1996
Cleared,25,1996
Reported,116,1997
Cleared,14,1997
Reported,87,1998
Cleared,30,1998
Reported,107,1999
Cleared,26,1999
Reported,103,2000
Cleared,17,2000
Reported,86,2001
Cleared,17,2001
Reported,90,2002
Cleared,28,2002
Reported,78,2003
Cleared,27,2003
Reported,86,2004
Cleared,13,2004
Reported,81,2005
Cleared,15,2005
Reported,138,2006
Cleared,19,2006
Reported,96,2007
Cleared,19,2007
Reported,93,2008
Cleared,16,2008
Reported,58,2009
Cleared,17,2009
Reported,51,2010
Cleared,10,2010
Reported,31,2011
Cleared,16,2011
Reported,46,2012
Cleared,15,2012
Reported,34,2013
Cleared,9,2013
Reported,65,2014
Cleared,24,2014
Reported,73,2015
Cleared,37,2015
Reported,61,2016
Cleared,30,2016
Reported,30,2017
Cleared,7,2017
Reported,30,2018
Cleared,9,2018
