Series,Year,Rate
1985,Male Officers,16
1985,Female Officers,2
1985,Male Civilians,2
1985,Female Civilians,2
1986,Male Officers,15
1986,Female Officers,1
1986,Male Civilians,2
1986,Female Civilians,3
1987,Male Officers,16
1987,Female Officers,1
1987,Male Civilians,1
1987,Female Civilians,4
1988,Male Officers,15
1988,Female Officers,2
1988,Male Civilians,2
1988,Female Civilians,3
1989,Male Officers,16
1989,Female Officers,2
1989,Male Civilians,1
1989,Female Civilians,4
1990,Male Officers,17
1990,Female Officers,2
1990,Male Civilians,1
1990,Female Civilians,5
1991,Male Officers,17
1991,Female Officers,2
1991,Male Civilians,1
1991,Female Civilians,5
1992,Male Officers,17
1992,Female Officers,3
1992,Male Civilians,1
1992,Female Civilians,6
1993,Male Officers,17
1993,Female Officers,3
1993,Male Civilians,1
1993,Female Civilians,5
1994,Male Officers,16
1994,Female Officers,2
1994,Male Civilians,2
1994,Female Civilians,6
1995,Male Officers,17
1995,Female Officers,2
1995,Male Civilians,2
1995,Female Civilians,6
1996,Male Officers,18
1996,Female Officers,2
1996,Male Civilians,2
1996,Female Civilians,6
1997,Male Officers,19
1997,Female Officers,4
1997,Male Civilians,1
1997,Female Civilians,4
1998,Male Officers,18
1998,Female Officers,5
1998,Male Civilians,2
1998,Female Civilians,4
1999,Male Officers,20
1999,Female Officers,4
1999,Male Civilians,2
1999,Female Civilians,5
2000,Male Officers,16
2000,Female Officers,6
2000,Male Civilians,3
2000,Female Civilians,4
2001,Male Officers,20
2001,Female Officers,5
2001,Male Civilians,0
2001,Female Civilians,4
2002,Male Officers,20
2002,Female Officers,5
2002,Male Civilians,2
2002,Female Civilians,3
2003,Male Officers,18
2003,Female Officers,6
2003,Male Civilians,2
2003,Female Civilians,2
2004,Male Officers,19
2004,Female Officers,5
2004,Male Civilians,4
2004,Female Civilians,4
2005,Male Officers,23
2005,Female Officers,9
2005,Male Civilians,0
2005,Female Civilians,0
2006,Male Officers,25
2006,Female Officers,6
2006,Male Civilians,2
2006,Female Civilians,2
2007,Male Officers,24
2007,Female Officers,6
2007,Male Civilians,3
2007,Female Civilians,2
2008,Male Officers,28
2008,Female Officers,5
2008,Male Civilians,1
2008,Female Civilians,2
2009,Male Officers,27
2009,Female Officers,6
2009,Male Civilians,1
2009,Female Civilians,2
2010,Male Officers,18
2010,Female Officers,5
2010,Male Civilians,2
2010,Female Civilians,4
2011,Male Officers,24
2011,Female Officers,5
2011,Male Civilians,5
2011,Female Civilians,4
2012,Male Officers,18
2012,Female Officers,5
2012,Male Civilians,2
2012,Female Civilians,4
2013,Male Officers,18
2013,Female Officers,5
2013,Male Civilians,2
2013,Female Civilians,4
2014,Male Officers,18
2014,Female Officers,5
2014,Male Civilians,2
2014,Female Civilians,4
2015,Male Officers,18
2015,Female Officers,5
2015,Male Civilians,2
2015,Female Civilians,4
2016,Male Officers,26
2016,Female Officers,6
2016,Male Civilians,4
2016,Female Civilians,4
2017,Male Officers,25
2017,Female Officers,5
2017,Male Civilians,4
2017,Female Civilians,7
2018,Male Officers,23
2018,Female Officers,6
2018,Male Civilians,4
2018,Female Civilians,8
